formula,id,identifier,is_public,last_modified,project,KS_indirect_eV,KS_direct_eV,QP_indirect,QP_direct,C_value
MgP4,5f22a157314c69f46a0739a8,mp-384,True,2020-07-30T10:30:48.070000,dtu,848.259,976.061,1257.24,1385.04,408.976
RbLa(MoO4)2,5f22a157ad184a29bf240cd2,mp-19687,True,2020-07-30T10:30:47.359000,dtu,4370.18,4387.48,5539.56,5556.86,1169.38
BaO2,5f22a157ad184a29bf240cd4,mp-1105,True,2020-07-30T10:30:47.571000,dtu,4109.23,4110.77,5561.19,5562.73,1451.96
BrF5,5f22a157ad184a29bf240cd6,mp-27987,True,2020-07-30T10:30:47.786000,dtu,4196.82,4237.99,5579.28,5620.45,1382.46
CsGaS2,5f22a157ad184a29bf240cd8,mp-5038,True,2020-07-30T10:30:47.995000,dtu,4024.17,4103.41,5629.04,5708.29,1604.88
GaF3,5f22a157b58a4a3d3003a1f6,mp-588,True,2020-07-30T10:30:47.246000,dtu,6574.66,6575.89,8560.23,8561.46,1985.57
Ba3In2F12,5f22a157b58a4a3d3003a1f8,mp-28274,True,2020-07-30T10:30:47.457000,dtu,6324.7,6324.65,8633.75,8633.7,2309.04
Ba2MgSi2O7,5f22a157b58a4a3d3003a1fa,mp-9338,True,2020-07-30T10:30:47.667000,dtu,6113.44,6161.04,8626.97,8674.56,2513.52
Y2Si2O7,5f22a157b58a4a3d3003a1fc,mp-5652,True,2020-07-30T10:30:47.878000,dtu,6177.56,6177.51,8683.99,8683.95,2506.44
Cs2NaYCl6,5f22a157b58a4a3d3003a1fe,mp-23120,True,2020-07-30T10:30:48.087000,dtu,6420.58,6420.53,8758.55,8758.5,2337.97
KNbS2,5f22a158314c69f46a0739aa,mp-7938,True,2020-07-30T10:30:48.270000,dtu,969.668,1265.39,1266.88,1562.61,297.215
Tl2Pt2O7,5f22a158314c69f46a0739ac,mp-13801,True,2020-07-30T10:30:48.469000,dtu,953.315,953.308,1332.36,1332.35,379.047
Te2I,5f22a158314c69f46a0739ae,mp-27655,True,2020-07-30T10:30:48.670000,dtu,872.873,872.866,1267.36,1267.35,394.487
Ba(ScTe2)2,5f22a158314c69f46a0739b0,mp-17501,True,2020-07-30T10:30:48.873000,dtu,896.464,896.458,1274.37,1274.37,377.909
SnSe,5f22a158314c69f46a0739b2,mp-691,True,2020-07-30T10:30:49.077000,dtu,876.575,979.774,1283.53,1386.73,406.952
RbNaS,5f22a158ad184a29bf240cda,mp-8799,True,2020-07-30T10:30:48.213000,dtu,3785.5,3838.65,5608.89,5662.05,1823.4
In2P2O7,5f22a158ad184a29bf240cdc,mp-17100,True,2020-07-30T10:30:48.416000,dtu,4166.04,4168.41,5598.01,5600.38,1431.97
Na2ZnGeO4,5f22a158ad184a29bf240cde,mp-6402,True,2020-07-30T10:30:48.628000,dtu,3892.85,3977.31,5594.68,5679.14,1701.83
BiCl3,5f22a158ad184a29bf240ce0,mp-22908,True,2020-07-30T10:30:48.839000,dtu,4089.39,4239.26,5719.13,5869.01,1629.74
SnClF,5f22a158ad184a29bf240ce2,mp-504519,True,2020-07-30T10:30:49.047000,dtu,3973.84,4000.75,5650.13,5677.03,1676.29
RbMgCl3,5f22a158b58a4a3d3003a200,mp-504459,True,2020-07-30T10:30:48.301000,dtu,6307.69,6307.64,8799.9,8799.85,2492.21
Li2CaSiO4,5f22a158b58a4a3d3003a202,mp-7610,True,2020-07-30T10:30:48.519000,dtu,6377.72,6756.78,8904.7,9283.76,2526.98
MgP4O11,5f22a158b58a4a3d3003a204,mp-15437,True,2020-07-30T10:30:48.726000,dtu,6603.11,6607.02,8881.15,8885.06,2278.04
BeBr2,5f22a158b58a4a3d3003a206,mp-30139,True,2020-07-30T10:30:48.938000,dtu,6237.35,6362.2,9047.48,9172.33,2810.13
RbSbF6,5f22a158b58a4a3d3003a208,mp-9821,True,2020-07-30T10:30:49.147000,dtu,6599.8,6599.75,8977.18,8977.13,2377.38
NbFeSb,5f22a159314c69f46a0739b4,mp-9437,True,2020-07-30T10:30:49.282000,dtu,1009.24,1733.72,1322.94,2047.42,313.696
In2HgS4,5f22a159314c69f46a0739b6,mp-22356,True,2020-07-30T10:30:49.482000,dtu,893.977,1099.22,1296.21,1501.45,402.236
VS4,5f22a159314c69f46a0739b8,mp-541155,True,2020-07-30T10:30:49.682000,dtu,1022.72,1065.22,1344.71,1387.21,321.992
HfTlCuSe3,5f22a159314c69f46a0739ba,mp-9397,True,2020-07-30T10:30:49.881000,dtu,934.366,964.208,1269.49,1299.33,335.126
Ca3(CoO3)2,5f22a159314c69f46a0739bc,mp-18792,True,2020-07-30T10:30:50.077000,dtu,984.137,989.586,1339.79,1345.23,355.649
Mg2As2O7,5f22a159ad184a29bf240ce4,mp-5618,True,2020-07-30T10:30:49.250000,dtu,4220.66,4220.63,5746.6,5746.57,1525.94
LiZnAsO4,5f22a159ad184a29bf240ce6,mp-18048,True,2020-07-30T10:30:49.456000,dtu,4030.95,4030.91,5711.29,5711.26,1680.35
LiGaBr4,5f22a159ad184a29bf240ce8,mp-28326,True,2020-07-30T10:30:49.661000,dtu,4113.1,4113.07,5748.86,5748.83,1635.76
CsNaS,5f22a159ad184a29bf240cea,mp-6973,True,2020-07-30T10:30:49.873000,dtu,3903.56,3977.21,5673.38,5747.03,1769.82
SbAsO3,5f22a159ad184a29bf240cec,mp-28109,True,2020-07-30T10:30:50.086000,dtu,4018.25,4148.59,5656.56,5786.9,1638.31
BaSnF6,5f22a159b58a4a3d3003a20a,mp-8290,True,2020-07-30T10:30:49.356000,dtu,6637.71,6637.66,9046.05,9046.0,2408.34
SrAl2B2O7,5f22a159b58a4a3d3003a20c,mp-15939,True,2020-07-30T10:30:49.567000,dtu,6327.45,6365.17,9077.87,9115.59,2750.42
KSrPO4,5f22a159b58a4a3d3003a20e,mp-17975,True,2020-07-30T10:30:49.782000,dtu,6671.07,6671.02,9129.48,9129.43,2458.41
SrCl2,5f22a159b58a4a3d3003a210,mp-23209,True,2020-07-30T10:30:49.994000,dtu,6477.9,6750.61,9239.05,9511.75,2761.14
P2Os,5f22a15a314c69f46a0739be,mp-2319,True,2020-07-30T10:30:50.278000,dtu,1009.1,1353.64,1399.15,1743.7,390.054
Li4NCl,5f22a15a314c69f46a0739c0,mp-29149,True,2020-07-30T10:30:50.478000,dtu,924.315,1490.69,1413.56,1979.93,489.243
ZrCoBi,5f22a15a314c69f46a0739c2,mp-31451,True,2020-07-30T10:30:50.678000,dtu,984.269,1697.23,1394.13,2107.1,409.863
Cs2PdI6,5f22a15a314c69f46a0739c4,mp-505635,True,2020-07-30T10:30:50.878000,dtu,904.797,1079.4,1368.28,1542.88,463.483
LiZnN,5f22a15a314c69f46a0739c6,mp-7575,True,2020-07-30T10:30:51.078000,dtu,953.323,953.316,1394.79,1394.79,441.471
SbClF8,5f22a15aad184a29bf240cee,mp-27314,True,2020-07-30T10:30:50.299000,dtu,4181.32,4181.29,5665.34,5665.31,1484.02
CaH2,5f22a15aad184a29bf240cf0,mp-23713,True,2020-07-30T10:30:50.505000,dtu,4133.69,4917.39,5849.33,6633.04,1715.64
LiN3,5f22a15aad184a29bf240cf2,mp-2659,True,2020-07-30T10:30:50.713000,dtu,4194.19,4678.1,5753.23,6237.14,1559.04
Ba(IO3)2,5f22a15aad184a29bf240cf4,mp-30991,True,2020-07-30T10:30:50.917000,dtu,4246.59,4296.83,5800.56,5850.8,1553.97
Na2S,5f22a15aad184a29bf240cf6,mp-648,True,2020-07-30T10:30:51.129000,dtu,3695.52,3696.11,5795.76,5796.35,2100.25
Mg3(PO4)2,5f22a15ab58a4a3d3003a212,mp-14396,True,2020-07-30T10:30:50.199000,dtu,6573.26,6593.94,9221.4,9242.08,2648.14
Na2Ca(PO3)4,5f22a15ab58a4a3d3003a214,mp-541522,True,2020-07-30T10:30:50.415000,dtu,6820.35,6820.29,9242.23,9242.18,2421.89
K2Be2PbF8,5f22a15ab58a4a3d3003a216,mp-7385,True,2020-07-30T10:30:50.626000,dtu,6724.12,6791.06,9191.46,9258.39,2467.33
CsMgCl3,5f22a15ab58a4a3d3003a218,mp-23004,True,2020-07-30T10:30:50.832000,dtu,6573.23,6573.18,9294.14,9294.09,2720.91
NaAlPO4F,5f22a15ab58a4a3d3003a21a,mp-8678,True,2020-07-30T10:30:51.045000,dtu,6955.26,6955.21,9304.85,9304.8,2349.59
K(MoS)3,5f22a15b314c69f46a0739c8,mp-8116,True,2020-07-30T10:30:51.278000,dtu,1024.08,1156.92,1366.01,1498.85,341.933
Ba(AgTe)2,5f22a15b314c69f46a0739ca,mp-18501,True,2020-07-30T10:30:51.478000,dtu,1009.24,1009.24,1437.48,1437.47,428.237
KPb,5f22a15b314c69f46a0739cc,mp-21526,True,2020-07-30T10:30:51.682000,dtu,856.016,856.01,1363.56,1363.56,507.548
ZnCu2GeS4,5f22a15b314c69f46a0739ce,mp-6408,True,2020-07-30T10:30:51.882000,dtu,992.588,992.581,1380.8,1380.8,388.217
SnSe2,5f22a15b314c69f46a0739d0,mp-665,True,2020-07-30T10:30:52.082000,dtu,953.976,1333.27,1432.7,1812.0,478.724
SnB4O7,5f22a15bad184a29bf240cf8,mp-13252,True,2020-07-30T10:30:51.341000,dtu,4235.73,4753.44,5803.61,6321.32,1567.88
BaPbF6,5f22a15bad184a29bf240cfa,mp-19799,True,2020-07-30T10:30:51.545000,dtu,4160.01,4159.98,5786.59,5786.56,1626.58
RbTaO3,5f22a15bad184a29bf240cfc,mp-3033,True,2020-07-30T10:30:51.761000,dtu,4662.08,4722.31,5777.21,5837.44,1115.13
K2TiO3,5f22a15bad184a29bf240cfe,mp-13133,True,2020-07-30T10:30:51.987000,dtu,4605.01,4604.97,5911.56,5911.52,1306.55
K2Zr3OF12,5f22a15bb58a4a3d3003a21c,mp-17888,True,2020-07-30T10:30:51.257000,dtu,7396.23,7408.4,9302.28,9314.46,1906.06
LaSiBO5,5f22a15bb58a4a3d3003a21e,mp-7051,True,2020-07-30T10:30:51.461000,dtu,6782.4,6782.74,9259.29,9259.63,2476.89
SrZnF4,5f22a15bb58a4a3d3003a220,mp-5078,True,2020-07-30T10:30:51.673000,dtu,6601.45,6601.4,9370.1,9370.05,2768.65
BaMgP2O7,5f22a15bb58a4a3d3003a222,mp-18343,True,2020-07-30T10:30:51.889000,dtu,6828.52,6835.79,9377.24,9384.51,2548.72
RbPO3,5f22a15bb58a4a3d3003a224,mp-4135,True,2020-07-30T10:30:52.110000,dtu,6820.52,6821.26,9396.71,9397.45,2576.19
CoAgO2,5f22a15c314c69f46a0739d2,mp-19178,True,2020-07-30T10:30:52.281000,dtu,1062.92,1313.47,1447.87,1698.42,384.942
RbSb,5f22a15c314c69f46a0739d4,mp-7444,True,2020-07-30T10:30:52.482000,dtu,907.119,907.112,1400.34,1400.34,493.226
Ca(BC)2,5f22a15c314c69f46a0739d6,mp-10289,True,2020-07-30T10:30:52.681000,dtu,1051.75,1371.48,1534.5,1854.23,482.748
PbS,5f22a15c314c69f46a0739d8,mp-21276,True,2020-07-30T10:30:52.881000,dtu,1078.62,1078.62,1542.61,1542.6,463.982
ClO2,5f22a15c314c69f46a0739da,mp-23207,True,2020-07-30T10:30:53.086000,dtu,1062.46,1071.86,1525.75,1535.15,463.287
CaBiClO2,5f22a15cad184a29bf240d00,mp-553025,True,2020-07-30T10:30:52.199000,dtu,4219.72,4319.35,5867.86,5967.48,1648.13
TaInO4,5f22a15cad184a29bf240d02,mp-8979,True,2020-07-30T10:30:52.405000,dtu,4541.64,4641.16,5881.84,5981.36,1340.2
