formula,id,identifier,is_public,last_modified,project,KS_indirect_eV,KS_direct_eV,QP_indirect,QP_direct,C_value
ReTeS,5f22a098314c69f46a07386c,mp-5222,True,2020-07-30T10:27:37.742000,dtu,326.068,689.088,434.34,797.36,108.272
CoAs2,5f22a098314c69f46a07386d,mp-2715,True,2020-07-30T10:27:37.857000,dtu,99.0832,275.283,134.809,311.009,35.7258
YB4Mo,5f22a0986e5d7cb953257feb,mp-7691,True,2020-07-30T10:27:37.378000,dtu,427.823,514.519,604.931,691.627,177.108
Sb,5f22a098ad184a29bf240ae0,mp-104,True,2020-07-30T10:27:37.387000,dtu,139.434,395.313,205.335,461.214,65.9015
SiSbPt,5f22a098c5384985221ce961,mp-11152,True,2020-07-30T10:27:38.099000,dtu,469.66,598.726,664.09,793.155,194.43
FeSi,5f22a099314c69f46a07386f,mp-871,True,2020-07-30T10:27:37.987000,dtu,274.855,312.695,371.471,409.311,96.6163
SrMgSi,5f22a099314c69f46a073871,mp-15642,True,2020-07-30T10:27:38.120000,dtu,125.268,125.268,125.268,125.268,0.0
Si3Ag3(SnP3)2,5f22a0996e5d7cb953257fed,mp-18310,True,2020-07-30T10:27:37.559000,dtu,453.304,575.988,638.344,761.029,185.04
Zr3Ni3Sb4,5f22a0996e5d7cb953257fef,mp-17926,True,2020-07-30T10:27:37.784000,dtu,423.974,738.036,600.432,914.494,176.458
Mg2Sn,5f22a0996e5d7cb953257ff1,mp-2343,True,2020-07-30T10:27:37.959000,dtu,379.737,1640.73,600.111,1861.1,220.374
InAuO2,5f22a0996e5d7cb953257ff3,mp-19723,True,2020-07-30T10:27:38.130000,dtu,451.865,1369.78,624.828,1542.74,172.963
Li2ZnGe,5f22a099ad184a29bf240ae2,mp-12411,True,2020-07-30T10:27:37.616000,dtu,175.198,339.279,246.519,410.6,71.3214
CsIn3,5f22a099ad184a29bf240ae4,mp-542339,True,2020-07-30T10:27:37.789000,dtu,152.535,332.206,239.329,419.001,86.795
CuSe2O5,5f22a099ad184a29bf240ae6,mp-3199,True,2020-07-30T10:27:37.951000,dtu,157.13,227.635,218.453,288.958,61.3227
As2Rh,5f22a099ad184a29bf240ae8,mp-15954,True,2020-07-30T10:27:38.110000,dtu,244.08,333.338,327.985,417.243,83.9049
GePtSe,5f22a09a314c69f46a073873,mp-20817,True,2020-07-30T10:27:38.251000,dtu,411.059,923.64,549.749,1062.33,138.69
TaAgS3,5f22a09a314c69f46a073875,mp-5821,True,2020-07-30T10:27:38.318000,dtu,100.123,413.48,135.914,449.271,35.791
P2Rh,5f22a09a314c69f46a073877,mp-15953,True,2020-07-30T10:27:38.458000,dtu,337.439,743.15,462.593,868.304,125.155
V4As2O13,5f22a09a314c69f46a073879,mp-32447,True,2020-07-30T10:27:38.535000,dtu,107.207,141.643,107.207,141.643,0.0
La3MnGaS7,5f22a09a314c69f46a07387b,mp-504891,True,2020-07-30T10:27:38.714000,dtu,358.147,390.417,549.651,581.922,191.504
YNiSb,5f22a09a314c69f46a07387d,mp-11520,True,2020-07-30T10:27:38.767000,dtu,153.789,1201.58,218.18,1265.97,64.3911
TiS2,5f22a09a314c69f46a07387f,mp-2156,True,2020-07-30T10:27:38.929000,dtu,389.994,861.213,527.308,998.527,137.314
CsMnBr3,5f22a09a314c69f46a073881,mp-23048,True,2020-07-30T10:27:38.993000,dtu,125.432,180.635,205.371,260.574,79.9388
LiScI3,5f22a09a314c69f46a073883,mp-28835,True,2020-07-30T10:27:39.168000,dtu,374.033,610.014,507.667,743.648,133.634
As2Ru,5f22a09a6e5d7cb953257ff5,mp-766,True,2020-07-30T10:27:38.372000,dtu,529.818,964.23,733.107,1167.52,203.289
ScSbPt,5f22a09a6e5d7cb953257ff7,mp-7173,True,2020-07-30T10:27:38.579000,dtu,519.731,519.727,715.001,714.997,195.27
YP5,5f22a09a6e5d7cb953257ff9,mp-9854,True,2020-07-30T10:27:38.786000,dtu,462.41,1001.18,684.787,1223.55,222.377
Sr(CdAs)2,5f22a09a6e5d7cb953257ffb,mp-7771,True,2020-07-30T10:27:38.993000,dtu,460.744,460.741,667.471,667.467,206.727
Sr(As3Pt2)2,5f22a09aad184a29bf240aea,mp-14500,True,2020-07-30T10:27:38.291000,dtu,205.846,351.589,288.128,433.871,82.2823
HfSnPd,5f22a09aad184a29bf240aec,mp-11869,True,2020-07-30T10:27:38.501000,dtu,226.056,1199.01,321.343,1294.29,95.2866
CaPAu,5f22a09aad184a29bf240aee,mp-10677,True,2020-07-30T10:27:38.706000,dtu,216.655,216.653,303.352,303.35,86.6969
LaP5,5f22a09aad184a29bf240af0,mp-1864,True,2020-07-30T10:27:38.918000,dtu,202.1,902.203,290.023,990.125,87.9223
C,5f22a09aad184a29bf240af2,mp-48,True,2020-07-30T10:27:39.125000,dtu,287.878,287.876,402.062,402.06,114.185
TlBiSe2,5f22a09ac5384985221ce963,mp-29662,True,2020-07-30T10:27:38.309000,dtu,582.114,582.11,846.081,846.076,263.967
KSnSb,5f22a09ac5384985221ce965,mp-3486,True,2020-07-30T10:27:38.498000,dtu,555.859,555.855,827.66,827.656,271.801
KGa3,5f22a09ac5384985221ce967,mp-181,True,2020-07-30T10:27:38.763000,dtu,535.146,588.622,797.207,850.683,262.061
TaTe4I,5f22a09ac5384985221ce969,mp-28691,True,2020-07-30T10:27:38.960000,dtu,568.525,638.701,824.226,894.402,255.701
YSbPt,5f22a09b314c69f46a073885,mp-4964,True,2020-07-30T10:27:39.258000,dtu,151.526,151.526,151.526,151.526,0.0
OsS2,5f22a09b314c69f46a073887,mp-20905,True,2020-07-30T10:27:39.385000,dtu,387.307,778.855,566.686,958.235,179.38
Cs2K4Fe2O5,5f22a09b314c69f46a073889,mp-541234,True,2020-07-30T10:27:39.516000,dtu,113.901,129.138,184.158,199.394,70.2566
AuSe,5f22a09b314c69f46a07388b,mp-2793,True,2020-07-30T10:27:39.593000,dtu,450.904,1319.37,642.749,1511.21,191.845
Li2AgSb,5f22a09b314c69f46a07388d,mp-16238,True,2020-07-30T10:27:39.736000,dtu,176.788,176.788,176.788,176.788,0.0
CoP2,5f22a09b314c69f46a07388f,mp-14285,True,2020-07-30T10:27:39.801000,dtu,459.688,519.397,618.32,678.029,158.632
CdSb,5f22a09b314c69f46a073891,mp-1321,True,2020-07-30T10:27:39.939000,dtu,135.95,393.216,197.137,454.403,61.1872
P3Au2,5f22a09b6e5d7cb953257ffd,mp-27258,True,2020-07-30T10:27:39.201000,dtu,527.618,1005.84,749.558,1227.78,221.94
CsScCl3,5f22a09bc5384985221ce96b,mp-27359,True,2020-07-30T10:27:39.172000,dtu,576.164,966.626,756.112,1146.57,179.949
Tl(TeMo)3,5f22a09bc5384985221ce96d,mp-16096,True,2020-07-30T10:27:39.373000,dtu,551.832,767.586,753.635,969.389,201.803
Ag3Te2Au,5f22a09bc5384985221ce96f,mp-5710,True,2020-07-30T10:27:39.559000,dtu,554.876,638.048,809.125,892.298,254.249
FeSe2,5f22a09bc5384985221ce971,mp-760,True,2020-07-30T10:27:39.761000,dtu,711.304,1269.83,938.316,1496.84,227.012
Si3P2Pt,5f22a09bc5384985221ce973,mp-29157,True,2020-07-30T10:27:39.959000,dtu,643.236,1267.89,892.968,1517.62,249.732
BaCaGe,5f22a0e7314c69f46a073894,mp-16252,True,2020-07-30T10:28:55.229000,dtu,564.809,564.805,924.24,924.236,359.431
AuSeBr,5f22a0e7314c69f46a073896,mp-27199,True,2020-07-30T10:28:55.427000,dtu,652.439,1012.12,918.195,1277.87,265.756
KZnSb,5f22a0e7314c69f46a073898,mp-7438,True,2020-07-30T10:28:55.681000,dtu,596.18,596.176,867.053,867.049,270.873
BaCaSn,5f22a0e7314c69f46a07389a,mp-11265,True,2020-07-30T10:28:55.934000,dtu,550.145,574.013,907.96,931.829,357.816
Ca2Sb,5f22a0e7314c69f46a07389c,mp-9925,True,2020-07-30T10:28:56.185000,dtu,510.827,637.762,861.769,988.704,350.942
Bi3ClO4,5f22a0e768c0040305054c80,mp-29558,True,2020-07-30T10:28:55.297000,dtu,2988.96,3110.13,4143.01,4264.18,1154.05
Nb2O5,5f22a0e768c0040305054c82,mp-1595,True,2020-07-30T10:28:55.547000,dtu,3316.57,3824.43,4055.86,4563.71,739.288
K2PtF6,5f22a0e768c0040305054c84,mp-3821,True,2020-07-30T10:28:55.771000,dtu,3164.99,3175.7,4134.81,4145.52,969.82
Na5ReO6,5f22a0e768c0040305054c86,mp-8253,True,2020-07-30T10:28:56,dtu,3032.43,3032.75,4052.41,4052.73,1019.98
BaLaCuTe3,5f22a0e7ad184a29bf240af4,mp-17063,True,2020-07-30T10:28:55.155000,dtu,1646.31,1646.29,2409.56,2409.55,763.256
Cd(GaTe2)2,5f22a0e7ad184a29bf240af5,mp-13949,True,2020-07-30T10:28:55.228000,dtu,1251.06,1251.05,1757.65,1757.64,506.588
GaP,5f22a0e7ad184a29bf240af8,mp-2490,True,2020-07-30T10:28:55.401000,dtu,1841.24,1973.09,2547.32,2679.17,706.077
WBr6,5f22a0e7ad184a29bf240af9,mp-504993,True,2020-07-30T10:28:55.414000,dtu,1281.4,1307.87,1754.91,1781.38,473.505
MgSiP2,5f22a0e7ad184a29bf240afc,mp-2961,True,2020-07-30T10:28:55.629000,dtu,1641.49,1641.48,2493.65,2493.63,852.157
KYO2,5f22a0e7ad184a29bf240afd,mp-8409,True,2020-07-30T10:28:55.649000,dtu,1290.89,1290.88,1813.55,1813.54,522.658
KAg2PS4,5f22a0e7ad184a29bf240b00,mp-12532,True,2020-07-30T10:28:55.814000,dtu,1772.36,2557.25,2530.49,3315.38,758.13
Ga7Te10,5f22a0e7ad184a29bf240b01,mp-18388,True,2020-07-30T10:28:55.839000,dtu,1251.52,1273.49,1766.38,1788.35,514.861
CdP2,5f22a0e7ad184a29bf240b04,mp-913,True,2020-07-30T10:28:56.007000,dtu,1722.58,1807.25,2525.56,2610.22,802.977
Ba3GaP3,5f22a0e7ad184a29bf240b05,mp-541715,True,2020-07-30T10:28:56.033000,dtu,1179.25,1181.88,1805.87,1808.51,626.626
KBi(WO4)2,5f22a0e7c5384985221ce975,mp-510667,True,2020-07-30T10:28:55.172000,dtu,2592.96,2605.11,3239.95,3252.1,646.99
CuBS2,5f22a0e7c5384985221ce977,mp-12954,True,2020-07-30T10:28:55.425000,dtu,2268.42,2268.41,3179.42,3179.41,911.001
YBi2ClO4,5f22a0e7c5384985221ce979,mp-552604,True,2020-07-30T10:28:55.623000,dtu,2243.11,2456.44,3163.25,3376.57,920.133
Rb2TaCuSe4,5f22a0e7c5384985221ce97b,mp-11924,True,2020-07-30T10:28:55.868000,dtu,2385.41,2584.13,3225.7,3424.43,840.296
Hg3(TeCl)2,5f22a0e7c5384985221ce97d,mp-504706,True,2020-07-30T10:28:56.114000,dtu,2222.93,2230.22,3216.34,3223.62,993.403
RbAg3Te2,5f22a0e8314c69f46a07389e,mp-10481,True,2020-07-30T10:28:56.367000,dtu,693.587,727.778,1006.05,1040.24,312.464
Ca2Si,5f22a0e8314c69f46a0738a0,mp-2517,True,2020-07-30T10:28:56.538000,dtu,640.007,640.002,999.986,999.981,359.979
Hg2GeSe4,5f22a0e8314c69f46a0738a2,mp-3167,True,2020-07-30T10:28:56.762000,dtu,675.294,675.289,997.757,997.752,322.463
Bi4RuI2,5f22a0e8314c69f46a0738a4,mp-541771,True,2020-07-30T10:28:56.936000,dtu,675.258,692.385,1000.22,1017.34,324.957
Ta2Pd3Se8,5f22a0e8314c69f46a0738a6,mp-18010,True,2020-07-30T10:28:57.120000,dtu,706.568,906.885,1001.6,1201.92,295.033
Sr3(AlN2)2,5f22a0e868c0040305054c88,mp-17129,True,2020-07-30T10:28:56.223000,dtu,2788.93,2829.53,4050.64,4091.25,1261.71
TiTl2O3,5f22a0e868c0040305054c8a,mp-17986,True,2020-07-30T10:28:56.456000,dtu,2793.68,2798.29,4060.1,4064.71,1266.42
Li6MoN4,5f22a0e868c0040305054c8c,mp-8804,True,2020-07-30T10:28:56.685000,dtu,3104.63,3158.71,4118.53,4172.6,1013.89
Li4MoO5,5f22a0e868c0040305054c8e,mp-19117,True,2020-07-30T10:28:56.902000,dtu,3230.87,3283.67,4067.91,4120.71,837.045
Nb2Cd2O7,5f22a0e868c0040305054c90,mp-5472,True,2020-07-30T10:28:57.091000,dtu,2898.6,3137.43,4080.81,4319.64,1182.21
K2PdO2,5f22a0e8ad184a29bf240b08,mp-540584,True,2020-07-30T10:28:56.203000,dtu,1862.53,1955.7,2524.72,2617.9,662.199
Cd2SnO4,5f22a0e8ad184a29bf240b09,mp-5966,True,2020-07-30T10:28:56.263000,dtu,1233.63,1247.36,1792.7,1806.43,559.068
Rb2PtS2,5f22a0e8ad184a29bf240b0b,mp-7929,True,2020-07-30T10:28:56.392000,dtu,1773.64,2243.85,2450.35,2920.55,676.707
LiP,5f22a0e8ad184a29bf240b0d,mp-9588,True,2020-07-30T10:28:56.480000,dtu,1224.98,1428.04,1791.92,1994.99,566.944
RbTeAu,5f22a0e8ad184a29bf240b0f,mp-9008,True,2020-07-30T10:28:56.602000,dtu,1724.3,1724.28,2528.73,2528.72,804.435
Sr(InTe2)2,5f22a0e8ad184a29bf240b11,mp-20397,True,2020-07-30T10:28:56.694000,dtu,1205.71,1401.91,1761.23,1957.44,555.524
Ti(PS3)2,5f22a0e8ad184a29bf240b13,mp-13666,True,2020-07-30T10:28:56.819000,dtu,1898.5,1903.23,2537.8,2542.53,639.3
Rb3Sb,5f22a0e8ad184a29bf240b15,mp-16319,True,2020-07-30T10:28:56.912000,dtu,1054.28,1148.25,1811.01,1904.99,756.73
AgI,5f22a0e8ad184a29bf240b17,mp-22925,True,2020-07-30T10:28:57.035000,dtu,1725.41,1725.4,2537.38,2537.36,811.967
NaPt2Se3,5f22a0e8ad184a29bf240b19,mp-28987,True,2020-07-30T10:28:57.123000,dtu,1301.86,1301.87,1827.39,1827.4,525.53
KPSe6,5f22a0e8c5384985221ce97f,mp-18625,True,2020-07-30T10:28:56.353000,dtu,2213.98,2219.51,3199.57,3205.1,985.592
TaTl(CuS2)2,5f22a0e8c5384985221ce981,mp-9815,True,2020-07-30T10:28:56.540000,dtu,2339.89,2373.85,3159.15,3193.1,819.255
Mg(InS2)2,5f22a0e8c5384985221ce983,mp-20493,True,2020-07-30T10:28:56.784000,dtu,2255.07,2255.05,3314.21,3314.19,1059.14
ICl3,5f22a0e8c5384985221ce985,mp-27729,True,2020-07-30T10:28:56.971000,dtu,2371.41,2385.74,3315.4,3329.72,943.987
BaAs2,5f22a0e9314c69f46a0738a8,mp-31243,True,2020-07-30T10:28:57.305000,dtu,682.868,689.102,1021.7,1027.93,338.83
HfSe3,5f22a0e9314c69f46a0738aa,mp-15622,True,2020-07-30T10:28:57.478000,dtu,731.811,1027.17,1040.58,1335.94,308.771
Ca2Ge,5f22a0e9314c69f46a0738ac,mp-304,True,2020-07-30T10:28:57.654000,dtu,642.775,642.77,999.512,999.507,356.737
TaCuS3,5f22a0e9314c69f46a0738ae,mp-3102,True,2020-07-30T10:28:57.877000,dtu,716.238,753.778,974.121,1011.66,257.883
Tl2(CdSb)3,5f22a0e9314c69f46a0738b0,mp-29741,True,2020-07-30T10:28:58.056000,dtu,650.354,650.349,954.519,954.514,304.165
Rb2TeCl6,5f22a0e968c0040305054c92,mp-22975,True,2020-07-30T10:28:57.272000,dtu,3020.68,3210.14,4158.6,4348.05,1137.91
BPS4,5f22a0e968c0040305054c94,mp-27724,True,2020-07-30T10:28:57.453000,dtu,2962.23,3394.97,4189.23,4621.97,1226.99
RbBiO2,5f22a0e968c0040305054c96,mp-29521,True,2020-07-30T10:28:57.631000,dtu,2955.99,2958.95,4176.21,4179.17,1220.22
SbS2NF6,5f22a0e968c0040305054c98,mp-12368,True,2020-07-30T10:28:57.853000,dtu,2781.63,2787.35,4162.0,4167.72,1380.36
TiO2,5f22a0e968c0040305054c9a,mp-390,True,2020-07-30T10:28:58.064000,dtu,3362.91,3631.03,4229.48,4497.61,866.577
RbIn3S5,5f22a0e9ad184a29bf240b1b,mp-542654,True,2020-07-30T10:28:57.251000,dtu,1691.15,1691.13,2450.98,2450.97,759.834
Cd(InSe2)2,5f22a0e9ad184a29bf240b1d,mp-22304,True,2020-07-30T10:28:57.340000,dtu,1285.16,1285.15,1882.87,1882.86,597.707
CuCl,5f22a0e9ad184a29bf240b1f,mp-22914,True,2020-07-30T10:28:57.466000,dtu,1678.57,1678.55,2500.0,2499.99,821.433
AgBr,5f22a0e9ad184a29bf240b21,mp-23231,True,2020-07-30T10:28:57.560000,dtu,1282.12,2605.72,1904.14,3227.75,622.022
Ba(AuO2)2,5f22a0e9ad184a29bf240b23,mp-9297,True,2020-07-30T10:28:57.685000,dtu,1850.29,1873.21,2519.65,2542.56,669.356
Ca3BN3,5f22a0e9ad184a29bf240b25,mp-30315,True,2020-07-30T10:28:57.775000,dtu,1367.3,1374.0,1898.9,1905.6,531.599
Si2Hg6O7,5f22a0e9ad184a29bf240b27,mp-28712,True,2020-07-30T10:28:57.902000,dtu,1798.1,2066.89,2507.28,2776.08,709.188
Na2PtSe2,5f22a0e9ad184a29bf240b29,mp-14588,True,2020-07-30T10:28:57.992000,dtu,1325.52,1789.76,1854.04,2318.28,528.522
Ba2PbO4,5f22a0e9ad184a29bf240b2b,mp-20098,True,2020-07-30T10:28:58.117000,dtu,1695.17,2152.78,2505.3,2962.91,810.133
Sr2LiReO6,5f22a0e9c5384985221ce987,mp-12525,True,2020-07-30T10:28:57.213000,dtu,2471.28,2525.43,3259.95,3314.1,788.67
Ga2S3,5f22a0e9c5384985221ce989,mp-539,True,2020-07-30T10:28:57.415000,dtu,2398.79,2398.77,3279.7,3279.68,880.908
CdPS3,5f22a0e9c5384985221ce98b,mp-5328,True,2020-07-30T10:28:57.611000,dtu,2327.97,2712.8,3274.39,3659.22,946.421
Ca2PI,5f22a0e9c5384985221ce98d,mp-23040,True,2020-07-30T10:28:57.811000,dtu,2223.22,2517.19,3315.83,3609.79,1092.61
K2GeSe3,5f22a0e9c5384985221ce98f,mp-9692,True,2020-07-30T10:28:58.015000,dtu,2247.42,2342.11,3258.73,3353.43,1011.32
PtS,5f22a0ea314c69f46a0738b2,mp-288,True,2020-07-30T10:28:58.230000,dtu,871.418,949.075,1133.89,1211.55,262.476
PtO2,5f22a0ea314c69f46a0738b4,mp-1285,True,2020-07-30T10:28:58.418000,dtu,814.699,1087.65,1088.61,1361.56,273.909
As2Ir,5f22a0ea314c69f46a0738b6,mp-15649,True,2020-07-30T10:28:58.605000,dtu,862.307,898.204,1147.66,1183.56,285.352
CdP4,5f22a0ea314c69f46a0738b8,mp-7904,True,2020-07-30T10:28:58.791000,dtu,760.821,942.136,1090.33,1271.65,329.514
Li3LaP2,5f22a0ea314c69f46a0738ba,mp-8407,True,2020-07-30T10:28:59.021000,dtu,725.054,1179.97,1085.14,1540.06,360.091
Rb2PtF6,5f22a0ea68c0040305054c9c,mp-8192,True,2020-07-30T10:28:58.253000,dtu,3227.66,3230.06,4225.41,4227.81,997.757
ZnO2,5f22a0ea68c0040305054c9e,mp-8484,True,2020-07-30T10:28:58.459000,dtu,3059.14,3156.71,4174.96,4272.54,1115.82
CsAu3Se2,5f22a0ea68c0040305054ca0,mp-9386,True,2020-07-30T10:28:58.665000,dtu,2904.67,3083.59,4246.74,4425.66,1342.07
Cs2TaAgS4,5f22a0ea68c0040305054ca2,mp-15218,True,2020-07-30T10:28:58.866000,dtu,3090.12,3162.81,4155.74,4228.43,1065.62
PbI2,5f22a0ea68c0040305054ca4,mp-22883,True,2020-07-30T10:28:59.115000,dtu,2893.73,3024.4,4208.04,4338.7,1314.3
ScTlSe2,5f22a0eaad184a29bf240b2d,mp-13313,True,2020-07-30T10:28:58.213000,dtu,1422.85,1607.15,1894.65,2078.95,471.798
Cs6GaSb3,5f22a0eaad184a29bf240b2f,mp-9697,True,2020-07-30T10:28:58.341000,dtu,1619.22,1632.17,2483.06,2496.01,863.834
Rb3Ge4Au,5f22a0eaad184a29bf240b31,mp-17830,True,2020-07-30T10:28:58.427000,dtu,1277.49,1445.83,1942.4,2110.74,664.907
WO3,5f22a0eaad184a29bf240b33,mp-510417,True,2020-07-30T10:28:58.557000,dtu,2002.05,2002.04,2502.29,2502.27,500.235
Li3As,5f22a0eaad184a29bf240b35,mp-757,True,2020-07-30T10:28:58.643000,dtu,1187.1,2151.02,1897.46,2861.38,710.359
CsIn5S8,5f22a0eaad184a29bf240b37,mp-22007,True,2020-07-30T10:28:58.777000,dtu,1829.73,1913.67,2622.96,2706.9,793.235
Na3Sb,5f22a0eaad184a29bf240b39,mp-7956,True,2020-07-30T10:28:58.866000,dtu,1139.68,1139.67,1885.93,1885.92,746.249
IrBr3,5f22a0eaad184a29bf240b3b,mp-27397,True,2020-07-30T10:28:58.988000,dtu,1937.77,2060.33,2611.86,2734.42,674.089
K5As2Au,5f22a0eaad184a29bf240b3d,mp-8683,True,2020-07-30T10:28:59.083000,dtu,1189.79,1218.87,1930.75,1959.83,740.957
CsCuO,5f22a0eac5384985221ce991,mp-541037,True,2020-07-30T10:28:58.216000,dtu,2397.96,2397.94,3287.3,3287.28,889.343
Hg3(SeCl)2,5f22a0eac5384985221ce993,mp-27851,True,2020-07-30T10:28:58.425000,dtu,2233.71,2233.69,3278.13,3278.11,1044.42
PbO,5f22a0eac5384985221ce995,mp-20442,True,2020-07-30T10:28:58.631000,dtu,2269.7,2703.45,3253.65,3687.39,983.943
YCuPbS3,5f22a0eac5384985221ce997,mp-542802,True,2020-07-30T10:28:58.838000,dtu,2360.04,2558.77,3307.28,3506.01,947.243
Pt(SCl4)2,5f22a0eac5384985221ce999,mp-28721,True,2020-07-30T10:28:59.087000,dtu,2361.34,2361.32,3254.72,3254.7,893.377
Sc4C3,5f22a0eb314c69f46a0738bc,mp-15661,True,2020-07-30T10:28:59.239000,dtu,820.824,820.818,1121.16,1121.16,300.341
Na3InAs2,5f22a0eb314c69f46a0738be,mp-21622,True,2020-07-30T10:28:59.484000,dtu,733.564,733.559,1112.54,1112.53,378.973
LaZnAsO,5f22a0eb314c69f46a0738c0,mp-549589,True,2020-07-30T10:28:59.663000,dtu,778.553,778.547,1117.08,1117.07,338.523
Sb2WO6,5f22a0eb314c69f46a0738c2,mp-541435,True,2020-07-30T10:28:59.902000,dtu,870.305,878.399,1080.24,1088.33,209.932
TiNb3O6,5f22a0eb314c69f46a0738c4,mp-29699,True,2020-07-30T10:29:00.132000,dtu,893.809,1038.5,1140.72,1285.41,246.911
BiI3,5f22a0eb68c0040305054ca6,mp-22849,True,2020-07-30T10:28:59.323000,dtu,2904.61,2941.92,4188.16,4225.47,1283.55
Cd4OF6,5f22a0eb68c0040305054ca8,mp-505174,True,2020-07-30T10:28:59.573000,dtu,2927.4,2944.99,4178.4,4196.0,1251.01
Li4GeS4,5f22a0eb68c0040305054caa,mp-510033,True,2020-07-30T10:28:59.828000,dtu,2965.47,3030.42,4249.45,4314.39,1283.98
Y2NCl3,5f22a0eb68c0040305054cac,mp-28580,True,2020-07-30T10:29:00.062000,dtu,3001.52,3491.51,4184.08,4674.06,1182.55
Rb2Pt3S4,5f22a0ebad184a29bf240b3f,mp-4030,True,2020-07-30T10:28:59.204000,dtu,1912.0,1989.28,2626.23,2703.52,714.235
Ca(MgSb)2,5f22a0ebad184a29bf240b41,mp-9565,True,2020-07-30T10:28:59.291000,dtu,1259.63,1898.29,1894.34,2533.0,634.716
NaRhO2,5f22a0ebad184a29bf240b43,mp-8830,True,2020-07-30T10:28:59.413000,dtu,1941.93,2070.52,2562.32,2690.91,620.387
ZrSnS3,5f22a0ebad184a29bf240b45,mp-17324,True,2020-07-30T10:28:59.499000,dtu,1400.19,1400.18,1935.6,1935.59,535.415
Rb3AsSe4,5f22a0ebad184a29bf240b47,mp-18305,True,2020-07-30T10:28:59.621000,dtu,1726.07,1731.27,2589.54,2594.74,863.476
TeI,5f22a0ebad184a29bf240b49,mp-23273,True,2020-07-30T10:28:59.711000,dtu,1299.35,1329.21,1902.19,1932.05,602.84
SnO2,5f22a0ebad184a29bf240b4b,mp-856,True,2020-07-30T10:28:59.851000,dtu,1873.11,1873.09,2585.64,2585.63,712.538
AlTlSe2,5f22a0ebad184a29bf240b4d,mp-9579,True,2020-07-30T10:28:59.921000,dtu,1292.75,1475.02,1868.56,2050.82,575.806
Sr5(AuO4)2,5f22a0ebad184a29bf240b4f,mp-28796,True,2020-07-30T10:29:00.073000,dtu,1917.81,1917.8,2636.13,2636.11,718.317
Cs2Se3,5f22a0ebad184a29bf240b51,mp-7449,True,2020-07-30T10:29:00.142000,dtu,1254.45,1314.87,1881.71,1942.13,627.262
BaTe,5f22a0ebc5384985221ce99b,mp-1000,True,2020-07-30T10:28:59.282000,dtu,2187.16,2523.7,3370.9,3707.44,1183.74
Rb2PtCl6,5f22a0ebc5384985221ce99d,mp-23350,True,2020-07-30T10:28:59.485000,dtu,2404.33,2406.04,3395.21,3396.91,990.876
Be4TeO7,5f22a0ebc5384985221ce99f,mp-27608,True,2020-07-30T10:28:59.689000,dtu,2529.83,2529.81,3394.37,3394.35,864.538
Cd(GaO2)2,5f22a0ebc5384985221ce9a1,mp-3443,True,2020-07-30T10:28:59.933000,dtu,2382.3,2428.31,3372.05,3418.06,989.75
SiC,5f22a0ebc5384985221ce9a3,mp-7631,True,2020-07-30T10:29:00.171000,dtu,2455.51,3507.2,3440.77,4492.46,985.255
NaTiCuS3,5f22a0ec314c69f46a0738c6,mp-505171,True,2020-07-30T10:29:00.305000,dtu,857.977,857.971,1144.43,1144.42,286.448
As2Os,5f22a0ec314c69f46a0738c8,mp-2455,True,2020-07-30T10:29:00.483000,dtu,854.585,1125.99,1176.03,1447.43,321.448
BaLaI4,5f22a0ec314c69f46a0738ca,mp-30111,True,2020-07-30T10:29:00.670000,dtu,852.693,895.082,1185.64,1228.03,332.948
CdTe,5f22a0ec314c69f46a0738cc,mp-406,True,2020-07-30T10:29:00.849000,dtu,860.732,860.726,1228.56,1228.56,367.831
LiNbS2,5f22a0ec314c69f46a0738ce,mp-7936,True,2020-07-30T10:29:01.086000,dtu,882.108,1579.65,1168.45,1865.99,286.343
CaSe,5f22a0ec68c0040305054cae,mp-1415,True,2020-07-30T10:29:00.303000,dtu,2906.47,3762.12,4221.07,5076.72,1314.6
TeO2,5f22a0ec68c0040305054cb0,mp-2125,True,2020-07-30T10:29:00.513000,dtu,3133.25,3133.23,4247.71,4247.68,1114.45
Na4ReN3,5f22a0ec68c0040305054cb2,mp-10419,True,2020-07-30T10:29:00.754000,dtu,3062.8,3116.51,4306.12,4359.83,1243.32
ClF,5f22a0ec68c0040305054cb4,mp-29504,True,2020-07-30T10:29:01.002000,dtu,2998.86,2998.84,4250.59,4250.57,1251.73
NaAgF4,5f22a0ecad184a29bf240b53,mp-7386,True,2020-07-30T10:29:00.301000,dtu,1903.8,1945.17,2631.23,2672.6,727.429
Hg2P3Cl,5f22a0ecad184a29bf240b55,mp-28875,True,2020-07-30T10:29:00.322000,dtu,1324.78,1784.43,1893.29,2352.95,568.516
Ca3AsN,5f22a0ecad184a29bf240b58,mp-4192,True,2020-07-30T10:29:00.483000,dtu,1762.87,1762.85,2587.62,2587.61,824.756
HfTlCuS3,5f22a0ecad184a29bf240b59,mp-9396,True,2020-07-30T10:29:00.512000,dtu,1426.81,1443.55,1927.03,1943.77,500.223
KHgF3,5f22a0ecad184a29bf240b5c,mp-7483,True,2020-07-30T10:29:00.674000,dtu,1826.48,1826.47,2587.64,2587.62,761.153
K3As,5f22a0ecad184a29bf240b5d,mp-14018,True,2020-07-30T10:29:00.701000,dtu,1103.32,1147.79,1939.4,1983.87,836.081
