snumat-id,formula,HSE,GGA
SM-11272,Ba2Ca1Mo1O6,3.092068,1.902688
SM-11273,W4Ba8Ca4N16,2.759326,1.846559
SM-4894,Ba4Pd6Ca2O12,3.00999,1.393141
SM-11276,Ba2Ca1Te1O6,4.62327,3.053728
SM-14541,Ba12Sn8P16,1.325772,0.7747700000000001
SM-13747,Ba2Ca1W1O6,4.067704,2.761506
SM-13748,Ba8Cd4S12,3.099256999999999,2.070074
SM-13749,Ba8Cd4Se12,2.462939,1.54611
SM-13750,Ba8Cd4Te12,2.116825,1.368007
SM-11277,Ba8Sb12Cd8K4,0.7130500000000001,0.17676799999999998
SM-14321,Ba4Cd4Sb6,0.48726799999999904,0.0
SM-4061,Ba8Ce3Sb4O24,3.583574,2.210363
SM-4937,Ba2Ce1Pt1O6,3.005965,1.588991
SM-13011,Cs4Ba8Sn4S16Cl4,3.605466,2.555657
SM-11278,Ba2Cu1Cl1O2,3.944477,2.6679500000000003
SM-13751,Cl1Ba2H3,0.397053999999999,0.0
SM-11279,Ba4In2O6Cl2,3.201662,1.975806
SM-13012,Ba4Mn2Si4Cl2O14,2.643673,1.294818
SM-13752,Ba2N1Cl1,1.9465439999999992,1.062833
SM-14487,Ba2P1Cl1,1.893812,1.198334
SM-14517,Ba4P14Cl2,2.140451,1.471524
SM-18730,Ba8Co4Cl24,4.285647,2.669855
SM-13013,Co2Cu4Ba4S4O4,2.407132,1.351668
SM-11281,Ba4Co2Ge4O14,3.281079,2.000441
SM-18270,Ba8Co4O16,3.015257,1.280882
SM-17459,Ba8Co4O16,2.896798,1.435972
SM-11283,Ba4Co2Si4O14,4.470853,2.900706
SM-13350,Ba4Co2Si4O14,4.91743,3.128916
SM-20152,Ba8Cr4Nb4O24,2.639874,1.562008
SM-18129,Ba8Cr4O16,3.267407,1.880461
SM-11284,Cs1Ba2Nb3O10,2.569273,1.373612
SM-14614,Ba4Cu2F12,4.707858,2.5689599999999992
SM-11285,Ba4Cu2Ge4O14,3.373547,1.458238
SM-11286,Ba8Cu4I4O8,3.852441,2.614297
SM-11289,Te2Cu2Ba4O12,2.736893,1.019942
SM-11290,Ba2Cu1Te1O6,1.965293,0.237837
SM-11293,Ba2Cu1W1O6,2.702701,0.728861
SM-11294,W1Cu1Ba2O6,2.700867,0.711245
SM-11295,Ba4Cu2Si4O14,3.607881,1.642167
SM-11296,Ba4Cu2Si4O14,3.351243,1.347455
SM-11297,Ba2Cu1P2O8,3.435776,1.395522
SM-11299,Ba4Cu6Li2O12,1.815415,0.345976
SM-11302,Ba4Cu6S10Na2,1.741767,0.8706659999999999
SM-11306,Ba4Cu6V2S12,1.670224,1.157381
SM-13755,Ba8Pd4D16,2.321144,1.538912999999999
SM-13756,Mg1Ba2D6,3.806139,2.827788
SM-13757,Os1Ba2D6,3.105257,2.000549999999999
SM-14362,Pt2Ba4D12,2.4258,1.6023640000000001
SM-13758,Ru1Ba2D6,3.194025,1.897743999999999
SM-11308,O6F2Ba4In2,3.458318,2.163082
SM-20426,Ba2N1F1,1.962762,1.053353
SM-13017,Ba2F2Fe2S2O1,3.472429,2.594521
SM-13018,Ba2Se2Fe2O1F2,3.441692,2.564811
